user; Quản lý người dùng
tool; Công cụ
group; Quản lý nhóm
index; Danh sách
add; Thêm
edit; Chỉnh sửa
delete; Xóa
notice; Thông báo
compensation; Đền bù
privilege; Phân quyền
popup; Popup
event; Sự kiện
goldexp; Vàng-Exp
shopeditor; Shop Editor
pig; Shop Heo
item; Shop vật phẩm
pigdetail; Chi tiết Heo
itemdetail; Chi tiết vật phẩm
delelegoldexp; Xóa sự kiện vàng - kinh nghiệm
namthien; Nam Thiên Đệ Nhất Ỉn
gift; Gói phần thưởng
log; Theo dõi
active;Thay đổi trạng thái
item; Điều chỉnh phần thưởng
getitemid; Lấy item id tự động
additem; Thêm nội dung phần thưởng
pigshop; Pig Shop
itemshop; Item Shop

act_login; Đăng nhập
act_changepass; Đổi mật khẩu
act_adduser; Thêm người dùng
act_edituser; Chỉnh sửa người dùng
act_deleteuser; Xóa người dùng
act_sync_event_exp; Sync config vàng và kinh nghiệm
act_edit_event_exp; Chỉnh sửa config vàng và kinh nghiệm
act_delete_event_exp; Xóa config vàng và kinh nghiệm
act_sync_event_namthien; Sync config sự kiện "Nam Thiên Đệ Nhất Ỉn"
act_edit_event_namthien; Chỉnh sửa config sự kiện "Nam Thiên Đệ Nhất Ỉn"
act_add_gift; Thêm gói phần thưởng
act_edit_gift; Chỉnh sửa gói phần thưởng
act_delete_gift; Xóa gói phần thưởng
act_add_item_gift; Thêm vật phẩm vào gói phần thưởng
act_delete_item_gift; Xóa vật phẩm khỏi gói phần thưởng
act_add_group; Thêm nhóm
act_edit_group; Chỉnh sửa nhóm
act_delete_group; Xóa nhóm
act_privilege; Phân quyền nhóm
act_add_pig; Thêm heo
act_edit_pig; Chỉnh sửa heo
act_delete_pig; Xóa heo
act_add_item; Thêm vật phẩm
act_edit_item; Chỉnh sửa vật phẩm
act_delete_item; Xóa vật phẩm
act_edit_notice; Chỉnh sửa thông báo
act_compensation; Đền bù
act_sync_popup; Sync config popup
act_edit_popup; Chỉnh sửa popup
act_add_compensation; Thêm đền bù
act_edit_compensation; Chỉnh sửa đền bù
act_del_compensation; Xóa đền bù
act_add_compensation_detail; Thêm chi tiết đền bù
act_edit_compensation_detail; Chỉnh sửa chi tiết đền bù
act_del_compensation_detail; Xóa chi tiết đền bù
act_approve_compensation; Xác nhận đền bù
act_deny_compensation; Từ chối đền bù
act_exec_compensation; Thực thi đền bù
act_wait_compensation; Chờ duyệt đền bù
act_delete_item; Xoá item
act_change_status_item_gift;  Thay đổi trạng thái gói quà
act_change_status_item; Thay đổi trạng thái item